TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
01-01-2020;24,2;34,2;28,9;78;0;5,6;4;290;2;N 
02-01-2020;25,8;33,2;28,5;82;2,5;6,1;4;240;2;NE
03-01-2020;24,8;32,8;27,2;86;16,6;4,6;3;210;1;E 
04-01-2020;24,6;31,2;27,6;82;2,3;4,7;4;180;2;E 
05-01-2020;24,8;31;27,6;82;8888;4,9;4;320;2;NW
06-01-2020;25,4;31,8;28;82;0;1,8;4;110;2;W 
07-01-2020;25,8;33;28,6;80;0;1,1;4;260;2;NW
08-01-2020;24,4;34,2;28,4;75;0;3,5;4;210;2;W 
09-01-2020;25,4;34,6;28,9;69;0;7;5;270;3;W 
10-01-2020;25,8;33,6;29,1;76;0;7,6;4;250;2;W 
11-01-2020;23,8;30;25,9;89;71,5;9,1;3;180;2;NE
12-01-2020;23,9;30,4;27,1;83;49,5;1,3;3;330;2;N 
13-01-2020;24;35;28,4;82;8888;3,8;4;210;2;N 
14-01-2020;25,8;26,8;25,8;94;2;7,5;4;340;1;C 
15-01-2020;23,2;30,4;27,7;77;60,2;0;3;160;2;SW
16-01-2020;-;33,4;27,9;84;0;1;4;50;1;W 
17-01-2020;24,8;34,4;28,7;84;0;6;3;50;2;NE
18-01-2020;25,2;31,8;27,3;88;5;7,5;12;350;2;C 
19-01-2020;24,2;34;28,5;80;7,4;1,8;3;260;2;N 
20-01-2020;24,8;34;28,9;79;0;7;5;280;3;NW
21-01-2020;24;33,8;28,7;76;0;7,4;6;300;4;W 
22-01-2020;24,8;33,6;29,1;74;0;10,5;7;270;4;W 
23-01-2020;25,2;33,6;28,8;74;0;8;5;280;4;W 
24-01-2020;25,2;34,6;29,1;72;0;11;5;260;3;NW
25-01-2020;26,2;34,2;29,3;76;0;8;4;250;3;SW
26-01-2020;25,2;33,4;27,1;88;0;6,5;5;320;2;W 
27-01-2020;24,2;34,2;29,1;78;24;2;4;250;2;W 
28-01-2020;26;34,4;29,6;78;0;7,6;5;250;3;W 
29-01-2020;25,8;35;30,1;77;0;7;4;290;2;W 
30-01-2020;-;33,4;28,2;85;-;7,8;4;330;2;NW
31-01-2020;24,2;27,6;25,6;86;6;1,2;3;190;1;C 
01-02-2020;24;33,4;28,3;78;2,7;0;5;280;3;W 
02-02-2020;24,4;34,2;28,7;72;-;7,2;5;230;3;W 
