TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-01-01,24.2,34.2,28.9,78.0,0.0,5.6,4,290,2,N ,Cerah,0
2020-01-02,25.8,33.2,28.5,82.0,2.5,6.1,4,240,2,NE,Hujan,1
2020-01-03,24.8,32.8,27.2,86.0,16.6,4.6,3,210,1,E ,Hujan,1
2020-01-04,24.6,31.2,27.6,82.0,2.3,4.7,4,180,2,E ,Hujan,1
2020-01-05,24.8,31.0,27.6,82.0,1.15,4.9,4,320,2,NW,Hujan,1
2020-01-06,25.4,31.8,28.0,82.0,0.0,1.8,4,110,2,W ,Cerah,0
2020-01-07,25.8,33.0,28.6,80.0,0.0,1.1,4,260,2,NW,Cerah,0
2020-01-08,24.4,34.2,28.4,75.0,0.0,3.5,4,210,2,W ,Cerah,0
2020-01-09,25.4,34.6,28.9,69.0,0.0,7.0,5,270,3,W ,Cerah,0
2020-01-10,25.8,33.6,29.1,76.0,0.0,7.6,4,250,2,W ,Cerah,0
2020-01-11,23.8,30.0,25.9,89.0,71.5,9.1,3,180,2,NE,Hujan,1
2020-01-12,23.9,30.4,27.1,83.0,49.5,1.3,3,330,2,N ,Hujan,1
2020-01-13,24.0,35.0,28.4,82.0,25.75,3.8,4,210,2,N ,Hujan,1
2020-01-14,25.8,26.8,25.8,94.0,2.0,7.5,4,340,1,C ,Hujan,1
2020-01-15,23.2,30.4,27.7,77.0,60.2,0.0,3,160,2,SW,Hujan,1
2020-01-16,24.0,33.4,27.9,84.0,0.0,1.0,4,50,1,W ,Cerah,0
2020-01-17,24.8,34.4,28.7,84.0,0.0,6.0,3,50,2,NE,Cerah,0
2020-01-18,25.2,31.8,27.3,88.0,5.0,7.5,12,350,2,C ,Hujan,1
2020-01-19,24.2,34.0,28.5,80.0,7.4,1.8,3,260,2,N ,Hujan,1
2020-01-20,24.8,34.0,28.9,79.0,0.0,7.0,5,280,3,NW,Cerah,0
2020-01-21,24.0,33.8,28.7,76.0,0.0,7.4,6,300,4,W ,Cerah,0
2020-01-22,24.8,33.6,29.1,74.0,0.0,10.5,7,270,4,W ,Cerah,0
2020-01-23,25.2,33.6,28.8,74.0,0.0,8.0,5,280,4,W ,Cerah,0
2020-01-24,25.2,34.6,29.1,72.0,0.0,11.0,5,260,3,NW,Cerah,0
2020-01-25,26.2,34.2,29.3,76.0,0.0,8.0,4,250,3,SW,Cerah,0
2020-01-26,25.2,33.4,27.1,88.0,0.0,6.5,5,320,2,W ,Cerah,0
2020-01-27,24.2,34.2,29.1,78.0,24.0,2.0,4,250,2,W ,Hujan,1
2020-01-28,26.0,34.4,29.6,78.0,0.0,7.6,5,250,3,W ,Cerah,0
2020-01-29,25.8,35.0,30.1,77.0,0.0,7.0,4,290,2,W ,Cerah,0
2020-01-30,25.0,33.4,28.2,85.0,3.0,7.8,4,330,2,NW,Hujan,1
2020-01-31,24.2,27.6,25.6,86.0,6.0,1.2,3,190,1,C ,Hujan,1
2020-02-01,24.0,33.4,28.3,78.0,2.7,0.0,5,280,3,W ,Hujan,1
2020-02-02,24.4,34.2,28.7,72.0,1.35,7.2,5,230,3,W ,Hujan,1
2020-02-03,23.6,34.4,29.1,72.0,0.0,7.5,5,270,3,W ,Cerah,0
