TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2020-01-05,"24,8",31,"27,6",82,8888,"4,9",4,320,2,NW
2020-01-13,24,35,"28,4",82,8888,"3,8",4,210,2,N 
2020-01-16,-,"33,4","27,9",84,0,1,4,50,1,W 
2020-01-30,-,"33,4","28,2",85,-,"7,8",4,330,2,NW
2020-02-02,"24,4","34,2","28,7",72,-,"7,2",5,230,3,W 
2020-02-07,25,29,"26,8",89,8888,"4,1",4,310,2,NW
2020-02-12,"24,8","34,2","28,8",75,-,8,6,250,3,NW
2020-02-14,-,"34,4","29,9",69,0,"7,7",4,300,3,W 
2020-02-16,"24,4","32,2","27,9",82,8888,"5,3",4,250,2,W 
2020-02-17,"25,6","33,8","28,3",84,-,"3,5",4,270,2,NE
2020-02-19,-,"32,6","28,4",80,-,"0,1",4,210,2,SW
2020-02-23,-,"34,2","29,2",72,0,"7,1",5,270,3,W 
2020-02-24,-,"34,4","29,1",71,0,"7,5",5,280,3,W 
2020-02-26,"26,6",34,"29,8",73,8888,8,5,270,3,N 
2020-02-27,25,"33,4","29,2",75,8888,"3,2",3,350,2,N 
2020-03-02,25,"34,8","30,2",77,-,"7,8",5,260,2,W 
2020-03-04,25,29,"27,5",86,8888,7,3,40,1,C 
2020-03-05,"24,8","32,6","27,9",84,8888,0,3,340,2,N 
2020-03-12,-,35,"30,2",74,0,"7,7",5,270,3,W 
2020-03-14,"25,4","33,4","29,1",77,-,"7,5",4,270,2,N 
2020-03-15,-,"33,2","29,3",76,0,"2,7",5,280,3,W 
2020-03-19,-,"33,2","29,1",75,-,8,9,240,3,W 
2020-03-23,-,"35,8","29,4",75,0,"6,5",4,250,2,N 
2020-03-25,"24,6","33,6","28,9",77,8888,"2,9",5,250,2,N 
2020-03-30,-,32,"28,2",82,8888,"4,3",4,190,2,SW
2020-04-07,-,34,"28,5",81,0,"7,8",3,30,2,N 
2020-04-10,25,"33,8","29,2",80,8888,"4,9",4,210,2,NW
2020-04-12,"24,6",34,29,78,8888,"0,7",4,250,2,W 
2020-04-16,"24,6","34,8","29,9",72,-,"6,8",4,270,2,W 
2020-04-24,"25,2","36,2","28,5",83,8888,"5,1",3,350,2,N 
2020-04-28,25,"31,2","27,5",86,-,"5,5",3,340,2,E 
2020-05-01,25,"32,4",-,-,"18,8","0,6",5,220,2,SW
2020-05-02,"25,2",32,28,88,8888,"5,1",4,240,1,C 
2020-05-04,24,"33,4","28,8",83,-,"3,3",3,190,1,C 
2020-05-06,"25,8","34,4","29,9",81,-,"5,8",3,240,1,SW
2020-05-07,"25,8","34,2","29,9",80,-,"4,2",3,220,2,SW
2020-05-09,"26,4","32,8","28,1",88,8888,"6,1",4,270,1,C 
2020-05-11,"25,4","35,2","29,2",80,8888,"3,6",4,140,2,E 
2020-05-14,"25,6","32,8","29,3",81,-,"5,4",4,170,2,C 
2020-05-27,"24,6","33,4","29,4",82,-,"7,7",4,170,2,S 
2020-06-05,"24,9","33,8","28,8",82,8888,"4,9",2,340,2,N 
2020-06-06,-,"29,4","27,3",86,8888,"4,9",3,180,2,N 
2020-06-12,26,-,"28,8",81,8888,3,3,50,2,SE
2020-06-16,"25,2","33,7","28,6",81,8888,"1,5",4,180,2,N 
2020-06-17,"25,4","33,3","28,1",85,8888,"4,8",4,190,1,C 
2020-06-18,"24,5","33,4",-,-,4,"2,9",3,350,2,N 
2020-06-22,-,"30,2","27,2",88,"5,3","4,6",3,160,1,C 
2020-06-23,-,"32,4","26,9",86,4,"0,3",2,350,1,C 
2020-06-24,-,"28,6","26,1",91,1,3,3,60,1,NW
2020-06-30,"23,6","33,8","27,8",82,-,"2,3",3,30,2,N 
2020-07-01,"24,8",32,"27,7",81,8888,"6,2",3,220,2,E 
2020-07-10,-,31,"26,7",85,"34,7","0,7",2,220,1,N 
2020-07-11,"25,4","32,4","27,4",87,8888,"1,6",3,290,2,NW
2020-07-20,"25,4",33,"28,5",80,-,"3,8",3,340,2,N 
2020-07-21,25,"31,9","27,7",83,8888,"3,1",2,290,2,E 
2020-07-25,25,"31,2","27,7",79,-,"4,8",4,30,2,NE
2020-07-28,"24,3","33,2","28,4",80,8888,5,4,60,2,N 
2020-07-30,"23,8","31,2","27,6",81,-,"6,6",3,40,2,N 
2020-07-31,"25,8","30,4","27,4",83,8888,"0,1",3,10,2,N 
2020-08-02,24,"29,4",27,86,8888,"1,3",2,30,1,NE
2020-08-03,"24,8",33,"27,5",84,8888,"0,5",3,10,2,N 
2020-08-05,"25,4","31,8","27,9",84,8888,1,4,150,2,E 
2020-08-08,"25,4",33,"28,7",79,8888,"5,4",4,130,2,E 
2020-08-09,"25,2",31,"27,1",89,-,"7,2",3,20,1,N 
2020-08-12,-,33,"28,3",82,"1,5","3,7",4,10,2,N 
2020-08-18,25,"32,2","27,1",85,0,-,5,330,2,N 
2020-08-21,"25,3","32,4",28,81,8888,"4,6",4,130,2,SE
2020-08-23,"25,8","33,5","27,8",83,-,"7,6",4,10,2,NW
2020-08-26,"25,6","31,3","27,4",84,8888,"3,8",3,330,2,N 
2020-09-05,"25,6",33,29,79,8888,2,3,300,2,NW
2020-09-13,24,"29,2","27,4",83,8888,2,3,360,2,E 
2020-09-18,"24,6","33,8",30,73,-,3,4,280,2,W 
2020-09-25,-,"32,9","27,7",83,8888,"5,2",3,330,1,C 
2020-09-30,-,"32,8","28,6",79,"0,6","1,7",5,140,2,C 
2020-10-02,"24,4",34,"29,1",78,8888,"5,8",3,360,2,N 
2020-10-03,26,"32,8","28,3",81,8888,"5,1",3,320,1,C 
2020-10-04,-,"33,2","28,4",80,"2,8","2,6",4,330,2,N 
2020-10-05,"24,4","30,4","27,8",82,8888,"4,4",3,290,2,NW
2020-10-06,25,"32,6","27,4",86,8888,0,4,20,2,C 
2020-10-07,-,"31,2","27,4",88,"4,3","1,6",2,290,1,C 
2020-10-12,"24,8","30,4","27,6",85,-,"6,4",4,290,1,C 
2020-10-17,25,"30,8","26,1",94,8888,-,6,90,1,E 
2020-10-19,-,"27,2","24,7",92,"17,1","0,2",2,220,1,C 
2020-10-21,25,"33,6","28,5",78,8888,"4,9",3,180,2,W 
2020-10-22,"24,2",35,"29,8",73,-,"3,2",4,310,2,NW
2020-10-25,"26,8",-,-,-,0,"7,8",4,250,2,NE
2020-10-26,"25,4","34,7","28,5",78,8888,"5,1",4,150,2,W 
2020-10-27,"25,2","31,6",28,76,8888,"4,8",5,270,3,W 
2020-10-30,"25,2","34,3","28,8",72,-,"1,6",5,90,3,NE
2020-10-31,-,"32,6","27,5",78,"43,5","7,8",3,250,2,W 
2020-11-01,"24,8",32,"28,1",77,8888,"3,1",3,270,2,NE
2020-11-04,"24,4","32,8",28,81,-,"2,8",5,190,2,NE
2020-11-05,-,"34,4","29,1",76,-,"2,8",4,20,3,E 
2020-11-09,"24,2",34,"28,9",78,-,"2,9",4,270,2,S 
2020-11-10,-,34,"28,8",78,-,"6,6",3,180,2,W 
2020-11-11,"24,6","33,2","28,4",82,-,4,3,360,1,C 
2020-11-14,"26,2",33,"28,9",80,-,"6,7",5,90,3,NE
2020-11-15,-,"32,8","28,5",81,"1,3",1,3,360,2,N 
2020-11-16,"25,4","31,8","28,5",79,-,"3,1",4,270,2,W 
2020-11-19,"25,8","31,1","28,7",82,"1,5",-,4,180,1,C 
2020-11-20,-,34,"28,9",79,"3,8","2,1",2,20,1,C 
2020-11-25,-,"33,2",28,86,"0,6","1,4",5,320,2,NW
2020-11-30,-,"29,6","26,1",85,"15,9","4,4",2,310,0,C 
2020-12-01,"23,2",34,"28,4",82,8888,"0,8",4,300,2,NW
2020-12-03,"23,6","34,6",28,83,8888,0,4,190,2,NW
2020-12-06,"25,6",33,"29,4",80,8888,"7,5",4,310,2,NW
2020-12-08,-,34,"28,5",83,"2,5","2,2",4,90,2,E 
2020-12-09,"26,8","33,6","29,4",78,-,"4,7",3,90,1,C 
2020-12-12,"25,8","32,4","27,1",87,8888,"5,2",4,220,1,C 
2020-12-14,"25,4","33,8","28,7",79,-,"3,6",4,310,2,NW
2020-12-16,"24,8",33,"28,2",84,8888,"4,6",3,300,2,NW
2020-12-20,"24,2","33,5",29,77,8888,"0,8",6,250,3,W 
2020-12-21,"24,4","33,6","27,5",82,-,"6,1",4,250,2,W 
2020-12-29,-,"31,6","26,2",88,"0,5","0,2",6,230,2,C 
2020-12-30,-,"33,4","28,2",83,"1,6","0,9",5,250,3,W 
2021-01-09,-,"33,6","27,6",84,"15,5","4,5",4,270,2,W 
2021-01-11,"25,4",33,"28,4",82,-,"5,5",4,260,2,S 
2021-01-14,"24,6","31,8","27,7",85,-,4,4,300,3,W 
2021-01-19,"25,1","33,8","28,6",84,-,"4,8",4,240,2,SW
2021-01-23,"23,5","32,7","28,3",84,8888,0,3,300,2,NW
2021-01-26,"24,4","34,2","27,7",84,8888,"0,1",3,290,2,W 
2021-01-29,"24,6",33,"28,5",80,-,"3,3",4,50,2,E 
2021-01-30,25,"34,2",28,82,-,"3,7",3,330,2,NE
2021-01-31,"24,6","33,4","28,6",79,8888,"6,8",5,80,3,E 
2021-02-01,-,"33,2","28,8",79,0,"5,6",4,90,2,E 
2021-02-03,25,"34,8","28,2",84,-,0,4,10,2,N 
2021-02-07,24,"32,5","28,3",82,8888,5,4,360,2,E 
2021-02-08,"26,2",34,"28,9",80,-,"1,2",4,30,2,N 
2021-02-12,"25,4",27,"25,6",92,8888,"2,7",3,310,1,W 
2021-02-15,"22,6",33,"26,8",85,8888,"1,1",3,150,2,E 
2021-02-16,24,"33,5","27,6",84,8888,"5,5",5,90,2,N 
2021-02-17,23,"30,6","27,3",86,-,"5,5",5,280,2,C 
2021-02-18,25,27,"25,9",92,8888,"0,5",4,310,2,NW
2021-02-20,"23,2","31,6","27,4",81,-,5,3,90,2,NE
2021-02-24,"24,4","33,9","27,9",84,8888,0,4,90,2,E 
2021-02-27,"24,2","33,7",27,85,8888,"5,2",6,130,2,C 
2021-03-02,"24,5","34,8","28,4",78,8888,"0,3",5,90,3,E 
2021-03-05,-,30,"27,2",84,1,"2,2",4,30,2,NE
2021-03-06,"24,6","33,2","28,2",79,8888,-,5,60,3,NE
2021-03-11,"25,2","32,8",27,85,8888,"3,2",4,140,1,C 
2021-03-16,"24,2","33,6","27,5",81,-,"7,7",4,300,1,C 
2021-03-18,-,32,"27,2",86,"3,5","7,9",4,350,2,N 
2021-03-19,"22,4","34,4",28,78,8888,"3,2",5,80,3,E 
2021-03-20,-,32,"27,4",84,-,8,5,290,2,C 
